Data Log

TimeStamp,Voltage,Current,Temperature
2023-04-04 16:29:21.395,19530,492,26.3
2023-04-04 16:29:23.602,19530,491,26.3
2023-04-04 16:29:25.423,19531,491,26.3
2023-04-04 16:29:27.600,19532,491,26.3
2023-04-04 16:29:29.451,19532,492,26.3
2023-04-04 16:29:31.605,19533,492,26.3
2023-04-04 16:29:33.474,19534,492,26.3
2023-04-04 16:29:35.605,19535,492,26.3
2023-04-04 16:29:37.474,19535,491,26.3
2023-04-04 16:29:39.647,19536,491,26.3
2023-04-04 16:29:41.496,19537,492,26.3
2023-04-04 16:29:43.687,19539,491,26.2
2023-04-04 16:29:45.518,19538,491,26.3
2023-04-04 16:29:47.728,19539,491,26.3
2023-04-04 16:29:49.541,19540,491,26.3
2023-04-04 16:29:51.600,19541,491,26.3
2023-04-04 16:29:53.564,19541,491,26.3
2023-04-04 16:29:55.652,19541,491,26.4
2023-04-04 16:29:57.582,19542,491,26.3
2023-04-04 16:29:59.629,19544,492,26.3
2023-04-04 16:30:01.596,19544,491,26.3
2023-04-04 16:30:03.618,19544,492,26.3
2023-04-04 16:30:05.615,19545,492,26.3
2023-04-04 16:30:07.647,19545,492,26.3
2023-04-04 16:30:09.638,19546,492,26.3
2023-04-04 16:30:11.681,19548,491,26.3
2023-04-04 16:30:13.647,19547,491,26.3
2023-04-04 16:30:15.674,19549,491,26.3
2023-04-04 16:30:17.663,19549,492,26.3
2023-04-04 16:30:19.714,19550,491,26.4
2023-04-04 16:30:21.678,19550,492,26.3
2023-04-04 16:30:23.713,19551,492,26.3
2023-04-04 16:30:25.683,19551,492,26.3
2023-04-04 16:30:27.696,19552,492,26.3
2023-04-04 16:30:29.699,19553,492,26.3
2023-04-04 16:30:31.706,19553,492,26.3
2023-04-04 16:30:33.713,19553,492,26.3
2023-04-04 16:30:35.721,19555,491,26.3
2023-04-04 16:30:37.736,19555,491,26.3
2023-04-04 16:30:39.750,19556,492,26.3
2023-04-04 16:30:41.752,19556,491,26.3
2023-04-04 16:30:43.758,19557,491,26.3
2023-04-04 16:30:45.770,19557,492,26.3
2023-04-04 16:30:47.777,19559,491,26.3
2023-04-04 16:30:49.787,19558,491,26.3
2023-04-04 16:30:51.799,19560,492,26.3
2023-04-04 16:30:53.812,19560,491,26.3
2023-04-04 16:30:55.826,19561,491,26.3
2023-04-04 16:30:57.831,19560,491,26.3
2023-04-04 16:30:59.836,19561,491,26.3
2023-04-04 16:31:01.842,19562,491,26.3
2023-04-04 16:31:03.895,19563,492,26.3
2023-04-04 16:31:05.844,19562,491,26.3
2023-04-04 16:31:07.848,19564,491,26.3
2023-04-04 16:31:09.852,19564,491,26.3
2023-04-04 16:31:11.854,19565,491,26.3
2023-04-04 16:31:13.867,19565,491,26.3
2023-04-04 16:31:15.878,19568,491,26.3
2023-04-04 16:31:17.892,19566,491,26.3
2023-04-04 16:31:19.902,19567,491,26.3
2023-04-04 16:31:21.916,19567,491,26.3
2023-04-04 16:31:24.302,19568,492,26.3
2023-04-04 16:31:25.931,19569,491,26.3
2023-04-04 16:31:28.332,19569,492,26.3
2023-04-04 16:31:29.952,19569,491,26.3
2023-04-04 16:31:32.366,19571,492,26.3
2023-04-04 16:31:33.963,19571,491,26.3
